"Date","Account","Description","Reference No","Debit","Credit","Department","Currency","Status"
"2025-11-01","Cash","Beginning Balance","REF-0001","100000.00","0.00","Finance","INR","Posted"
"2025-11-02","Sales Revenue","Product Sale Invoice","INV-1001","0.00","50000.00","Sales","USD","Posted"
"2025-11-02","Accounts Receivable","Sale to Customer A","INV-1001","50000.00","0.00","Sales","USD","Posted"
"2025-11-03","Office Supplies","Purchase of supplies","BIL-2001","1200.00","0.00","Admin","INR","Posted"
"2025-11-04","Accounts Payable","Vendor Payment","PAY-3001","0.00","8000.00","Finance","GBP","Posted"
"2025-11-04","Bank","Vendor Payment","PAY-3001","7500.00","0.00","Finance","GBP","Posted"
"2025-11-05","Salaries Expense","Monthly Salary","SAL-4001","25000.00","0.00","HR","INR","Posted"
"2025-11-06","Cash","Customer Payment","RCPT-5001","0.00","70000.00","Sales","EUR","Posted"
"2025-11-06","Accounts Receivable","Payment received","RCPT-5001","69500.00","0.00","Sales","EUR","Pending"
"2025-11-07","Utilities Expense","Electricity Bill","BIL-6001","3500.00","0.00","Admin","INR","Posted"
"2025-11-08","Sales Revenue","Service Sale Invoice","INV-1002","0.00","30000.00","Services","INR","Posted"
"2025-11-08","Accounts Receivable","Sale to Customer B","INV-1002","25000.00","0.00","Services","INR","Posted"
"2025-11-09","Misc Expense","Unrecorded expense","UNKNOWN","1500.00","0.00","Unknown","USD","Pending"
"2025-11-10","Accounts Payable","Vendor Credit Note","CN-7001","0.00","2000.00","Finance","USD","Posted"
"2025-11-10","Bank","Vendor Credit Note","CN-7001","2100.00","0.00","Finance","USD","Posted"
"2025-11-11","Sales Revenue","Foreign Sale Adjustment","ADJ-8001","0.00","10000.00","Sales","CAD","Posted"
"2025-11-11","Accounts Receivable","Foreign Sale Adjustment","ADJ-8001","10000.00","0.00","Sales","CAD","Posted"
"2025-11-12","Cash","Petty Cash Withdrawal","PCW-9001","500.00","0.00","Admin","INR","Posted"
"2025-11-13","Bank","Bank Charges","BIL-10001","300.00","0.00","Finance","INR","Posted"